data/tempCode/music-visualizer-for-yout/Release/visualizer.js:202:5:error(insecure-document-method):    document.getElementById('Notifications_Banner').innerHTML = txt;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer old.js:661:5:warning(eval-detected):    eval("audioCtx" + i + " = new AudioContext();analyser" + i + " = audioCtx" + i + ".createAnalyser();analyser" + i + ".smoothingTimeConstant = .55;audio" + i + " = document.getElementById('audioSource'+" + i + ");source" + i + " =  audioCtx" + i + ".createMediaElementSource(audio" + i + ");source" + i + ".connect(analyser" + i + ");analyser" + i + ".connect(audioCtx" + i + ".destination);analyser" + i + ".fftSize = " + fftUni + ";frequencyData" + i + " = new Uint8Array(analyser" + i + ".frequencyBinCount);bufferLength" + i + " = analyser" + i + ".frequencyBinCount;dataArray" + i + " = new Uint8Array(bufferLength" + i + ");");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:671:5:warning(eval-detected):    eval("analyser" + i + ".getByteFrequencyData(frequencyData" + i + ")");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:672:9:warning(eval-detected):    if (eval("frequencyData" + i + "[50]") + eval("frequencyData" + i + "[55]") != 0) {:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:672:46:warning(eval-detected):    if (eval("frequencyData" + i + "[50]") + eval("frequencyData" + i + "[55]") != 0) {:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:695:3:warning(eval-detected):  eval("analyser" + currentSource + ".getByteFrequencyData(frequencyData" + currentSource + ")");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:696:18:warning(eval-detected):  var freqData = eval("frequencyData" + currentSource);:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:804:5:warning(eval-detected):    eval("analyser" + currentSource + ".getByteTimeDomainData(dataArray" + currentSource + ")");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:823:15:warning(eval-detected):      var v = eval("dataArray" + currentSource + "[i]") / 128.0;:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer old.js:213:3:error(insecure-document-method):  document.getElementById('multN').innerHTML = multiplier / 10;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer old.js:899:5:error(insecure-document-method):    document.getElementById('multN').innerHTML = multiplier / 10;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer old.js:913:5:error(insecure-document-method):    document.getElementById('multN').innerHTML = multiplier / 10;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer old.js:1052:5:error(insecure-document-method):    document.getElementById('wtitle1').innerHTML = document.getElementById('currently-playing-title').innerHTML;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer old.js:1053:5:error(insecure-document-method):    document.getElementById('wtitle2').innerHTML = document.getElementsByClassName('player-artist')[0].innerHTML + " - " + document.getElementsByClassName('player-album')[0].innerHTML;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer old.js:1098:3:error(insecure-document-method):  document.getElementById('wtitle1').innerHTML = document.getElementById('currently-playing-title').innerHTML;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer old.js:1100:3:error(insecure-document-method):  document.getElementById('wtitle2').innerHTML = document.getElementsByClassName('player-artist')[0].innerHTML + " - " + document.getElementsByClassName('player-album')[0].innerHTML;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer very old.js:421:3:warning(eval-detected):  eval("audioCtx"+i+" = new AudioContext();analyser"+i+" = audioCtx"+i+".createAnalyser();analyser"+i+".smoothingTimeConstant = .6;audio"+i+" = document.getElementById('audioSource'+"+i+");source"+i+" =  audioCtx"+i+".createMediaElementSource(audio"+i+");source"+i+".connect(analyser"+i+");analyser"+i+".connect(audioCtx"+i+".destination);analyser"+i+".fftSize = "+fftUni+";frequencyData"+i+" = new Uint8Array(analyser"+i+".frequencyBinCount);bufferLength"+i+" = analyser"+i+".frequencyBinCount;dataArray"+i+" = new Uint8Array(bufferLength"+i+");");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer very old.js:433:3:warning(eval-detected):  eval("analyser"+i+".getByteFrequencyData(frequencyData"+i+")");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer very old.js:434:6:warning(eval-detected):  if(eval("frequencyData"+i+"[10]")!=0):Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer very old.js:455:2:warning(eval-detected): eval("analyser"+currentSource+".getByteFrequencyData(frequencyData"+currentSource+")");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer very old.js:456:17:warning(eval-detected): var freqData = eval("frequencyData"+currentSource);:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer very old.js:543:2:warning(eval-detected): eval("analyser"+currentSource+".getByteTimeDomainData(dataArray"+currentSource+")");:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer very old.js:557:11:warning(eval-detected):  var v = eval("dataArray"+currentSource+"[i]") / 128.0;:Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.
data/tempCode/music-visualizer-for-yout/visualizer very old.js:172:2:error(insecure-document-method): document.getElementById('multN').innerHTML=multiplier/10;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
data/tempCode/music-visualizer-for-yout/visualizer very old.js:634:3:error(insecure-document-method):  document.getElementById('multN').innerHTML=multiplier/10;:User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities
