data/tempCode/streaming-enhanced-netfli/chrome/badge.js:50:19:error(detected-jwt-token):          "Bearer eyJhbGciOiJIUzI1NiJ9.eyJhdWQiOiI5OWQyMWUxMmYzNjU1MjM4NzdhNTAwODVhMmVjYThiZiIsInN1YiI6IjY1M2E3Mjg3MjgxMWExMDBlYTA4NjI5OCIsInNjb3BlcyI6WyJhcGlfcmVhZCJdLCJ2ZXJzaW9uIjoxfQ.x_EaVXQkg1_plk0NVSBnoNUl4QlGytdeO613nXIsP3w",:JWT token detected
data/tempCode/streaming-enhanced-netfli/chrome/cr.js:85:15:info(unsafe-formatstring):  console.log(date.getHours() + ":" + date.getMinutes() + ":" + date.getSeconds(), ...args);:Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.
data/tempCode/streaming-enhanced-netfli/chrome/skipper.js:184:17:info(unsafe-formatstring):    console.log(date.getHours() + ":" + date.getMinutes() + ":" + date.getSeconds(), ...args);:Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.
data/tempCode/streaming-enhanced-netfli/chrome/skipper.js:253:38:warning(detect-eval-with-expression):    let RatingInterval = setInterval(function () {:Detected use of dynamic execution of JavaScript which may come from user-input, which can lead to Cross-Site-Scripting (XSS). Where possible avoid including user-input in functions which dynamically execute user-input.
data/tempCode/streaming-enhanced-netfli/chrome/skipper.js:265:39:warning(detect-eval-with-expression):    let DBCacheInterval = setInterval(function () {:Detected use of dynamic execution of JavaScript which may come from user-input, which can lead to Cross-Site-Scripting (XSS). Where possible avoid including user-input in functions which dynamically execute user-input.
data/tempCode/streaming-enhanced-netfli/firefox/badge.js:47:19:error(detected-jwt-token):          "Bearer eyJhbGciOiJIUzI1NiJ9.eyJhdWQiOiI5OWQyMWUxMmYzNjU1MjM4NzdhNTAwODVhMmVjYThiZiIsInN1YiI6IjY1M2E3Mjg3MjgxMWExMDBlYTA4NjI5OCIsInNjb3BlcyI6WyJhcGlfcmVhZCJdLCJ2ZXJzaW9uIjoxfQ.x_EaVXQkg1_plk0NVSBnoNUl4QlGytdeO613nXIsP3w",:JWT token detected
data/tempCode/streaming-enhanced-netfli/firefox/cr.js:85:15:info(unsafe-formatstring):  console.log(date.getHours() + ":" + date.getMinutes() + ":" + date.getSeconds(), ...args);:Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.
data/tempCode/streaming-enhanced-netfli/firefox/skipper.js:184:17:info(unsafe-formatstring):    console.log(date.getHours() + ":" + date.getMinutes() + ":" + date.getSeconds(), ...args);:Detected string concatenation with a non-literal variable in a util.format / console.log function. If an attacker injects a format specifier in the string, it will forge the log message. Try to use constant values for the format string.
data/tempCode/streaming-enhanced-netfli/firefox/skipper.js:253:38:warning(detect-eval-with-expression):    let RatingInterval = setInterval(function () {:Detected use of dynamic execution of JavaScript which may come from user-input, which can lead to Cross-Site-Scripting (XSS). Where possible avoid including user-input in functions which dynamically execute user-input.
data/tempCode/streaming-enhanced-netfli/firefox/skipper.js:265:39:warning(detect-eval-with-expression):    let DBCacheInterval = setInterval(function () {:Detected use of dynamic execution of JavaScript which may come from user-input, which can lead to Cross-Site-Scripting (XSS). Where possible avoid including user-input in functions which dynamically execute user-input.
data/tempCode/streaming-enhanced-netfli/graph/chart.html:4:3:warning(missing-integrity):  <script src="https://cdn.jsdelivr.net/npm/chart.js"></script>:This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) you’re telling the browser to fetch in the 'integrity' attribute for all externally hosted files.
